Year,School,Conference,Public_Private,Undergrads,Revenues,Expenses,Coach_Salary,Infractions,Wins,Losses
2003,Air Force,MW,Public,-1,-1,-1,-1,0,7,5
2004,Air Force,MW,Public,-1,-1,-1,-1,0,5,6
2005,Air Force,MW,Public,-1,-1,-1,-1,0,4,7
2006,Air Force,MW,Public,-1,-1,-1,755370,0,4,8
2007,Air Force,MW,Public,-1,-1,-1,550000,0,9,4
2008,Air Force,MW,Public,-1,-1,-1,-1,0,8,5
2009,Air Force,MW,Public,-1,-1,-1,760000,0,8,5
2010,Air Force,MW,Public,-1,-1,-1,725000,0,9,4
2011,Air Force,MW,Public,-1,-1,-1,866250,0,7,6
2012,Air Force,MW,Public,-1,-1,-1,882000,0,6,7
2013,Air Force,MW,Public,-1,-1,-1,882000,0,2,10
2014,Air Force,MW,Public,-1,-1,-1,866250,0,10,3
2015,Air Force,MW,Public,-1,-1,-1,892500,0,8,6
2016,Air Force,MW,Public,-1,-1,-1,885000,0,10,3
2003,Akron,MAC,Public,14166,688274,3521051,-1,0,7,5
2004,Akron,MAC,Public,12661,868287,3764563,-1,0,6,5
2005,Akron,MAC,Public,12635,740749,4072698,-1,0,7,6
2006,Akron,MAC,Public,11824,1331447,4640002,182500,0,5,7
2007,Akron,MAC,Public,14337,4707537,4707537,188888,0,4,8
2008,Akron,MAC,Public,15035,1577189,4788604,-1,0,5,7
2009,Akron,MAC,Public,16273,5738172,5738172,196292,0,3,9
2010,Akron,MAC,Public,17358,5495951,5495951,375000,0,1,11
2011,Akron,MAC,Public,17397,5918151,5918151,375000,0,1,11
2012,Akron,MAC,Public,16642,6785813,6785813,375000,0,1,11
2013,Akron,MAC,Public,15456,6759147,6759147,400000,0,5,7
2014,Akron,MAC,Public,15078,7155103,7155103,406000,0,5,7
2015,Akron,MAC,Public,14652,7473209,7473209,406000,0,8,5
2016,Akron,MAC,Public,13367,7253770,7253770,411000,0,5,7
2003,Alabama,SEC,Public,14270,39848836,11819450,-1,0,4,9
2004,Alabama,SEC,Public,14855,42979669,14106325,-1,0,6,6
2005,Alabama,SEC,Public,15832,44426312,16705255,-1,1,10,2
2006,Alabama,SEC,Public,17784,53182806,21340593,412000,1,6,7
2007,Alabama,SEC,Public,19238,57370617,16154793,225000,1,7,6
2008,Alabama,SEC,Public,20397,64606392,26443955,-1,0,12,2
2009,Alabama,SEC,Public,21552,71884525,31118134,225000,1,14,0
2010,Alabama,SEC,Public,22587,76801800,31580059,5166666,0,10,3
2011,Alabama,SEC,Public,23592,81993762,36918963,4683333,0,12,1
2012,Alabama,SEC,Public,25109,88660439,41558058,5316667,0,13,1
2013,Alabama,SEC,Public,26247,94990345,41720629,5395852,0,11,2
2014,Alabama,SEC,Public,27331,97023963,51044292,6950203,0,12,2
2015,Alabama,SEC,Public,28447,103870999,56214376,6932395,0,14,1
2016,Alabama,SEC,Public,29071,108117057,62252389,6939395,0,14,1
2014,Appalachian State,Sun Belt,Public,15238,5947165,5947165,225000,0,7,5
2015,Appalachian State,Sun Belt,Public,15267,6630031,6630031,375000,0,11,2
2016,Appalachian State,Sun Belt,Public,15450,7923498,7923498,525000,0,10,3
2003,Arizona,Pac-10,Public,24217,13266117,9916953,-1,0,2,10
2004,Arizona,Pac-10,Public,24595,14631743,8430936,-1,0,3,8
2005,Arizona,Pac-10,Public,24725,15391671,8057844,-1,0,3,8
2006,Arizona,Pac-10,Public,28442,17489510,9161561,415000,0,6,6
2007,Arizona,Pac-10,Public,25078,16732590,8523955,515288,0,5,7
2008,Arizona,Pac-10,Public,25814,20927253,12612710,-1,0,8,5
2009,Arizona,Pac-10,Public,26989,24398253,13685931,500000,0,8,5
2010,Arizona,Pac-10,Public,26853,25448212,17965169,1100000,0,7,6
2011,Arizona,Pac-12,Public,27234,24445690,23643038,1200000,0,4,8
2012,Arizona,Pac-12,Public,28063,28415445,20111388,1500000,0,8,5
2013,Arizona,Pac-12,Public,28289,29259647,28202470,1850000,0,8,5
2014,Arizona,Pac-12,Public,29342,23115960,20422820,2898500,0,10,4
2015,Arizona,Pac-12,Public,29445,41388363,21399664,2878844,0,7,6
2016,Arizona,Pac-12,Public,29049,44177156,21138814,2500000,0,3,9
2003,Arizona State,Pac-10,Public,30935,17669149,11409157,-1,0,5,7
2004,Arizona State,Pac-10,Public,31570,17809736,10438329,-1,0,9,3
2005,Arizona State,Pac-10,Public,32865,24714123,14432662,-1,1,7,5
2006,Arizona State,Pac-10,Public,32722,23519742,18629486,950000,0,7,6
2007,Arizona State,Pac-10,Public,29747,29473997,18426275,450000,0,10,3
2008,Arizona State,Pac-10,Public,43026,29857334,17211218,-1,0,5,7
2009,Arizona State,Pac-10,Public,45490,29587236,17977987,450000,0,4,8
2010,Arizona State,Pac-10,Public,46894,27842879,16564598,1500000,0,6,6
2011,Arizona State,Pac-12,Public,50394,34859343,23994495,1500000,0,6,7
2012,Arizona State,Pac-12,Public,49870,39210883,23509311,3000000,0,8,5
2013,Arizona State,Pac-12,Public,34852,48982647,27124199,2300000,0,10,4
2014,Arizona State,Pac-12,Public,35770,49016140,28083384,2700000,0,10,3
2015,Arizona State,Pac-12,Public,37753,42892151,26601767,3000000,0,6,7
2016,Arizona State,Pac-12,Public,38761,43012682,31371363,3100000,0,5,7
2003,Arkansas,SEC,Public,11037,27337120,12624255,-1,1,9,4
2004,Arkansas,SEC,Public,11302,27783961,11695261,-1,0,5,6
2005,Arkansas,SEC,Public,11743,28466785,13038917,-1,0,4,7
2006,Arkansas,SEC,Public,12488,42056467,22805114,329644,0,10,4
2007,Arkansas,SEC,Public,12488,40135364,18476812,389644,0,8,5
2008,Arkansas,SEC,Public,12967,38630265,18309256,-1,0,5,7
2009,Arkansas,SEC,Public,13534,48524244,22005104,1900000,0,8,5
2010,Arkansas,SEC,Public,14785,61131707,24059193,2700000,0,10,3
2011,Arkansas,SEC,Public,16477,64193826,24325173,3635000,0,11,2
2012,Arkansas,SEC,Public,17687,61492925,29861957,850000,0,4,8
2013,Arkansas,SEC,Public,18455,57057801,28074698,5158863,0,3,9
2014,Arkansas,SEC,Public,19029,66179978,30795322,3200000,0,7,6
2015,Arkansas,SEC,Public,19426,68970599,34237143,3954166,0,8,5
2016,Arkansas,SEC,Public,19774,71197898,37326361,4100000,0,7,6
2003,Arkansas State,Sun Belt,Public,7457,1565937,3045374,-1,0,5,7
2004,Arkansas State,Sun Belt,Public,7263,1727986,2963601,-1,0,3,8
2005,Arkansas State,Sun Belt,Public,7194,1829277,3572695,-1,0,6,6
2006,Arkansas State,Sun Belt,Public,7220,3576338,3576338,140000,0,6,6
2007,Arkansas State,Sun Belt,Public,7532,3710057,3710057,140000,0,5,7
2008,Arkansas State,Sun Belt,Public,7521,3726141,3726141,-1,0,6,6
2009,Arkansas State,Sun Belt,Public,7643,3760642,3760642,140000,0,4,8
2010,Arkansas State,Sun Belt,Public,7681,4007405,4007405,140000,0,4,8
2011,Arkansas State,Sun Belt,Public,7588,4341626,4341626,151660,1,10,3
2012,Arkansas State,Sun Belt,Public,7717,5748516,5748516,856210,0,10,3
2013,Arkansas State,Sun Belt,Public,7557,5936094,5936094,724597,0,8,5
2014,Arkansas State,Sun Belt,Public,7402,6501109,6501109,700000,0,7,6
2015,Arkansas State,Sun Belt,Public,7222,6864360,6864360,700000,0,9,4
2016,Arkansas State,Sun Belt,Public,7248,7159248,7159248,700000,0,8,5
2003,Army,C-USA,Public,-1,-1,-1,-1,0,0,13
2004,Army,C-USA,Public,-1,-1,-1,-1,0,2,9
2005,Army,Independent,Public,-1,-1,-1,-1,0,4,7
2006,Army,Independent,Public,-1,-1,-1,-1,0,3,9
2007,Army,Independent,Public,-1,-1,-1,-1,0,3,9
2008,Army,Independent,Public,-1,-1,-1,-1,0,3,9
2009,Army,Independent,Public,-1,-1,-1,200000,0,5,7
2010,Army,Independent,Public,-1,-1,-1,400000,0,7,6
2011,Army,Independent,Public,-1,-1,-1,610000,0,3,9
2012,Army,Independent,Public,-1,-1,-1,600000,0,2,10
2013,Army,Independent,Public,-1,-1,-1,401500,0,3,9
2014,Army,Independent,Public,-1,-1,-1,834667,0,4,8
2015,Army,Independent,Public,-1,-1,-1,883000,0,2,10
2016,Army,Independent,Public,-1,-1,-1,932521,0,8,5
2003,Auburn,SEC,Public,17584,37173943,12639218,-1,0,8,5
2004,Auburn,SEC,Public,17418,40559427,16374577,-1,0,13,0
2005,Auburn,SEC,Public,17778,51598921,20063074,-1,0,9,3
2006,Auburn,SEC,Public,18896,56830516,22950759,235000,0,11,2
2007,Auburn,SEC,Public,18146,59671354,23171402,435000,0,9,4
2008,Auburn,SEC,Public,18377,58618819,28801868,-1,0,5,7
2009,Auburn,SEC,Public,18385,66162720,27911713,500000,0,8,5
2010,Auburn,SEC,Public,18727,76227804,39069676,2100000,0,14,0
2011,Auburn,SEC,Public,18627,77170242,33334595,3500000,0,8,5
2012,Auburn,SEC,Public,18449,75092576,36306282,3500000,0,3,9
2013,Auburn,SEC,Public,17978,49639256,49639256,2440000,0,12,2
2014,Auburn,SEC,Public,18746,86742256,40077352,3850000,0,8,5
2015,Auburn,SEC,Public,19625,92537433,41896336,4100000,0,7,6
2016,Auburn,SEC,Public,20260,91652926,42825220,4725000,0,8,5
2003,Ball State,MAC,Public,16312,926865,3610638,-1,0,4,8
2004,Ball State,MAC,Public,16191,799737,3909226,-1,0,2,9
2005,Ball State,MAC,Public,16057,1679525,4105817,-1,0,4,7
2006,Ball State,MAC,Public,16958,1626206,4652969,132970,0,5,7
2007,Ball State,MAC,Public,15356,5436482,5436482,164289,1,7,6
2008,Ball State,MAC,Public,15619,5181790,5181790,-1,0,12,2
2009,Ball State,MAC,Public,16400,5252502,5252502,350000,0,2,10
2010,Ball State,MAC,Public,16861,5735424,5735424,350000,0,4,8
2011,Ball State,MAC,Public,16197,5803970,5803970,350000,0,6,6
2012,Ball State,MAC,Public,15594,5926855,5926855,350000,0,9,4
2013,Ball State,MAC,Public,15001,6510050,6510050,396000,0,10,3
2014,Ball State,MAC,Public,14913,7061205,7061205,500000,0,5,7
2015,Ball State,MAC,Public,14627,7220032,7220032,514250,0,3,9
2016,Ball State,MAC,Public,15018,7044512,7044512,425000,0,4,8
2003,Baylor,Big 12,Private,11260,6202948,7769732,-1,0,3,9
2004,Baylor,Big 12,Private,11162,6500150,7640954,-1,0,3,8
2005,Baylor,Big 12,Private,11465,7812122,8535346,-1,1,5,6
2006,Baylor,Big 12,Private,11434,9270595,9170300,1144236,0,4,8
2007,Baylor,Big 12,Private,11641,11053460,11391810,1204818,0,3,9
2008,Baylor,Big 12,Private,11847,11896723,10908725,-1,0,4,8
2009,Baylor,Big 12,Private,11880,14355322,12462241,943830,0,4,8
2010,Baylor,Big 12,Private,12188,15031956,14577044,878315,0,7,6
2011,Baylor,Big 12,Private,12320,19891947,17121255,1549396,0,10,3
2012,Baylor,Big 12,Private,12589,26270277,20299526,2232807,0,8,5
2013,Baylor,Big 12,Private,13033,28317369,24574507,2426360,0,11,2
2014,Baylor,Big 12,Private,13577,35575376,28433715,3135146,0,11,2
2015,Baylor,Big 12,Private,13911,38305937,29544710,4236073,0,10,3
2016,Baylor,Big 12,Private,14087,43223215,33370976,-1,0,7,6
2003,Boise State,WAC,Public,10455,2824122,3318890,-1,0,13,1
2004,Boise State,WAC,Public,10578,3942425,3482093,-1,0,11,1
2005,Boise State,WAC,Public,10751,8542522,4513650,-1,0,9,4
2006,Boise State,WAC,Public,10811,12123981,8599515,502500,0,13,0
2007,Boise State,WAC,Public,11219,8546037,6936587,857500,0,10,3
2008,Boise State,WAC,Public,11515,8515597,5365282,-1,0,12,1
2009,Boise State,WAC,Public,12138,14515613,6850396,995250,0,14,0
2010,Boise State,WAC,Public,12674,12950605,7834316,1489053,0,12,1
2011,Boise State,MW,Public,12705,15345308,8537612,1525000,1,12,1
2012,Boise State,MW,Public,12718,15284248,9200027,1956333,0,11,2
2013,Boise State,MW,Public,12427,18976831,11523144,2148000,0,8,5
2014,Boise State,MW,Public,12124,20206989,8839739,1000004,0,12,2
2015,Boise State,MW,Public,12004,20321986,9712566,1100004,0,9,4
2016,Boise State,MW,Public,12350,21302390,11141018,1300004,0,10,3
2003,Boston College,Big East,Private,8967,14252113,11843511,-1,0,8,5
2004,Boston College,Big East,Private,9353,13418390,11064328,-1,0,9,3
2005,Boston College,ACC,Private,9561,16496426,15071270,-1,0,9,3
2006,Boston College,ACC,Private,9019,17452269,16176602,733626,0,10,3
2007,Boston College,ACC,Private,9759,18661058,18523026,-1,0,11,3
2008,Boston College,ACC,Private,9258,20711067,19408065,-1,0,9,5
2009,Boston College,ACC,Private,9501,19184902,17973705,-1,0,8,5
2010,Boston College,ACC,Private,9417,20529424,18603243,-1,0,7,6
2011,Boston College,ACC,Private,9338,21674975,17987934,1079410,0,4,8
2012,Boston College,ACC,Private,9383,22939275,19703856,1094976,0,2,10
2013,Boston College,ACC,Private,9345,23991382,19920330,-1,0,7,6
2014,Boston College,ACC,Private,9345,27232643,21853965,-1,0,7,6
2015,Boston College,ACC,Private,9365,26991209,21347885,2585655,0,3,9
2016,Boston College,ACC,Private,9486,28487714,23103611,2333628,0,7,6
2003,Bowling Green,MAC,Public,14462,2271728,4616267,-1,0,11,3
2004,Bowling Green,MAC,Public,14829,2374803,3703868,-1,0,9,3
2005,Bowling Green,MAC,Public,15014,1957598,3763278,-1,0,6,5
2006,Bowling Green,MAC,Public,16085,4261871,3949669,130000,0,4,8
2007,Bowling Green,MAC,Public,14477,4127434,3836845,163909,0,8,5
2008,Bowling Green,MAC,Public,13694,2118327,4197503,-1,0,6,6
2009,Bowling Green,MAC,Public,13092,4154484,4052175,215000,0,7,6
2010,Bowling Green,MAC,Public,13604,4845511,4845511,205000,0,2,10
2011,Bowling Green,MAC,Public,13817,5121624,5121624,363000,0,5,7
2012,Bowling Green,MAC,Public,13665,6171184,6171184,363000,0,8,5
2013,Bowling Green,MAC,Public,13329,6409892,6409892,400000,0,10,4
2014,Bowling Green,MAC,Public,12901,6574521,6574467,405000,0,8,6
2015,Bowling Green,MAC,Public,13143,6754237,6754237,413000,0,10,4
2016,Bowling Green,MAC,Public,13111,6537321,6537321,410000,0,4,8
2003,Buffalo,MAC,Public,16219,1016032,3061377,-1,0,1,11
2004,Buffalo,MAC,Public,16509,991824,3473132,-1,0,2,9
2005,Buffalo,MAC,Public,16911,670647,4082626,-1,0,1,10
2006,Buffalo,MAC,Public,17517,4551896,4551896,180000,0,2,10
2007,Buffalo,MAC,Public,18608,1882475,4322914,187700,0,5,7
2008,Buffalo,MAC,Public,17686,5241024,5241024,-1,0,8,6
2009,Buffalo,MAC,Public,17917,5271139,5271139,200651,0,5,7
2010,Buffalo,MAC,Public,17952,5940401,5940401,338000,0,2,10
2011,Buffalo,MAC,Public,17507,6005677,6005677,325000,0,3,9
2012,Buffalo,MAC,Public,17573,6480242,6480242,325000,0,4,8
2013,Buffalo,MAC,Public,17793,6694678,6694678,325000,0,8,5
2014,Buffalo,MAC,Public,17991,7259746,7259746,380210,0,5,6
2015,Buffalo,MAC,Public,18336,7539610,7539610,400000,0,5,7
2016,Buffalo,MAC,Public,18732,7796405,7796405,405500,0,2,10
2003,BYU,MW,Private,26586,10367905,8550493,-1,0,4,8
2004,BYU,MW,Private,24968,8819805,7561833,-1,0,5,6
2005,BYU,MW,Private,27460,10493561,8567561,-1,0,6,6
2006,BYU,MW,Private,27465,10142975,9140943,-1,0,11,2
2007,BYU,MW,Private,27844,11189381,9419570,-1,0,11,2
2008,BYU,MW,Private,27986,12520065,10168252,-1,0,10,3
2009,BYU,MW,Private,28048,15763650,10312232,-1,0,11,2
2010,BYU,MW,Private,27852,15664108,10764814,-1,0,7,6
2011,BYU,Independent,Private,28005,22406413,14991538,-1,0,10,3
2012,BYU,Independent,Private,28338,18639413,14428930,-1,0,8,5
2013,BYU,Independent,Private,25084,22212731,15235834,-1,0,8,5
2014,BYU,Independent,Private,24499,19902453,14634364,-1,0,8,5
2015,BYU,Independent,Private,27339,25469619,16627703,-1,0,9,4
2016,BYU,Independent,Private,28012,26116548,19253088,-1,0,9,4
2003,California,Pac-10,Public,21942,12548856,10685345,-1,0,8,6
2004,California,Pac-10,Public,21771,17091988,13745980,-1,0,10,2
2005,California,Pac-10,Public,22295,18053243,12438345,-1,0,8,4
2006,California,Pac-10,Public,23863,26001075,17283717,167500,0,10,3
2007,California,Pac-10,Public,24636,27826942,15264307,225000,0,7,6
2008,California,Pac-10,Public,24385,27747396,19122925,-1,0,9,4
2009,California,Pac-10,Public,24796,24421437,18519523,1225000,0,8,5
2010,California,Pac-10,Public,24929,24328784,17398649,2300000,0,5,7
2011,California,Pac-12,Public,25138,26072231,19232057,2300000,0,7,6
2012,California,Pac-12,Public,25018,37660430,23071010,2600000,0,3,9
2013,California,Pac-12,Public,25220,33265304,22176917,2394000,0,1,11
2014,California,Pac-12,Public,26320,43651316,21802870,1800000,0,5,7
2015,California,Pac-12,Public,26622,41527030,22079265,2000000,0,8,5
2016,California,Pac-12,Public,28107,44279264,22909592,2900000,0,5,7
2003,Central Florida,MAC,Public,25813,1744014,5363070,-1,0,3,9
2004,Central Florida,MAC,Public,26978,2262178,5186735,-1,0,0,11
2005,Central Florida,C-USA,Public,28621,7878139,7176309,-1,0,8,5
2006,Central Florida,C-USA,Public,29907,4293022,3733457,250000,0,4,8
2007,Central Florida,C-USA,Public,31069,5317178,7102163,261250,0,10,4
2008,Central Florida,C-USA,Public,32188,8845302,7467781,-1,0,4,8
2009,Central Florida,C-USA,Public,34126,15173200,8507856,310466,0,8,5
2010,Central Florida,C-USA,Public,35917,13421192,12706791,1325754,1,11,3
2011,Central Florida,C-USA,Public,37227,12211638,13636867,1392043,0,5,7
2012,Central Florida,C-USA,Public,36678,14712259,15076308,1461646,1,10,4
2013,Central Florida,C-USA,Public,36096,21265919,19635031,1534728,0,12,1
2014,Central Florida,C-USA,Public,36373,23626498,18051303,1800000,0,9,4
2015,Central Florida,C-USA,Public,37511,22377609,19254214,1890000,0,0,12
2016,Central Florida,C-USA,Public,38228,21546497,17064586,1700000,0,6,7
2003,Central Michigan,MAC,Public,17090,3282746,3282746,-1,0,3,9
2004,Central Michigan,MAC,Public,17500,3572222,3572222,-1,0,4,7
2005,Central Michigan,MAC,Public,17620,1444040,3692553,-1,0,6,5
2006,Central Michigan,MAC,Public,18331,4465376,6166514,159397,0,10,4
2007,Central Michigan,MAC,Public,17563,5712638,5712638,200850,0,8,6
2008,Central Michigan,MAC,Public,17889,7991950,6050523,-1,0,8,5
2009,Central Michigan,MAC,Public,18037,7035878,7035878,277950,0,12,2
2010,Central Michigan,MAC,Public,18856,5822706,5822706,350000,0,3,9
2011,Central Michigan,MAC,Public,18799,4388863,5656136,325000,0,3,9
2012,Central Michigan,MAC,Public,18283,6750120,6740097,325000,0,7,6
2013,Central Michigan,MAC,Public,17606,5872226,5872226,360000,0,6,6
2014,Central Michigan,MAC,Public,17860,6971102,6971102,360000,0,7,6
2015,Central Michigan,MAC,Public,17559,6274563,6274563,533500,0,7,6
2016,Central Michigan,MAC,Public,17077,7233254,7233254,545640,0,6,7
2015,Charlotte,C-USA,Public,19745,8362740,8362740,600000,0,2,10
2016,Charlotte,C-USA,Public,20257,8182524,8182524,600000,0,4,8
2003,Cincinnati,C-USA,Public,15725,4739787,6525094,-1,0,5,7
2004,Cincinnati,C-USA,Public,15858,5238462,7078927,-1,0,7,5
2005,Cincinnati,Big East,Public,16098,4856257,7842760,-1,0,4,7
2006,Cincinnati,Big East,Public,16350,8162664,7774009,270000,0,8,5
2007,Cincinnati,Big East,Public,16841,9179822,9179822,385000,0,10,3
2008,Cincinnati,Big East,Public,17214,11460935,10525335,-1,0,11,3
2009,Cincinnati,Big East,Public,18128,13325304,11599780,315000,0,12,1
2010,Cincinnati,Big East,Public,18628,13357060,11148347,1100000,0,4,8
2011,Cincinnati,Big East,Public,19320,15322430,12594857,1393333,1,10,3
2012,Cincinnati,Big East,Public,19615,16458502,16458502,1769648,0,10,3
2013,Cincinnati,American,Public,20278,14564560,14564560,3143000,0,9,4
2014,Cincinnati,American,Public,20578,13821277,13821277,2200000,0,9,4
2015,Cincinnati,American,Public,20906,13848429,13848429,2200000,0,7,6
2016,Cincinnati,American,Public,21445,15491793,15491793,2200000,0,4,8
2003,Clemson,ACC,Public,12857,24295351,11568008,-1,0,9,4
2004,Clemson,ACC,Public,13066,22334140,10512496,-1,0,6,5
2005,Clemson,ACC,Public,13257,24286331,12638939,-1,0,8,4
2006,Clemson,ACC,Public,14172,32029237,13880931,273028,0,8,5
2007,Clemson,ACC,Public,13258,33022630,15055243,297332,0,9,4
2008,Clemson,ACC,Public,13734,35205168,18842872,-1,0,7,6
2009,Clemson,ACC,Public,14326,30994503,16305528,250000,0,9,5
2010,Clemson,ACC,Public,14477,31730042,17992943,1750000,0,6,7
2011,Clemson,ACC,Public,14777,39207780,23652472,1833333,0,10,4
2012,Clemson,ACC,Public,15570,41273517,19969497,2040024,0,11,2
2013,Clemson,ACC,Public,15993,42427250,24748157,2540024,0,11,2
2014,Clemson,ACC,Public,16529,43959747,24191774,3150000,0,10,3
2015,Clemson,ACC,Public,17175,45930086,34668941,3300000,0,14,1
2016,Clemson,ACC,Public,17849,51712856,43943578,4417500,0,14,1
2003,Colorado,Big 12,Public,23980,23061208,9690074,-1,0,5,7
2004,Colorado,Big 12,Public,24165,22053568,10935305,-1,0,8,5
2005,Colorado,Big 12,Public,23773,23577859,15942092,-1,0,7,6
2006,Colorado,Big 12,Public,24484,23101126,11449737,355000,0,2,10
2007,Colorado,Big 12,Public,23738,28755199,14142730,166400,1,6,7
2008,Colorado,Big 12,Public,24361,27827286,13040024,-1,0,5,7
2009,Colorado,Big 12,Public,24774,26233929,12558503,174720,0,3,9
2010,Colorado,Big 12,Public,24014,25955136,16308544,1383903,0,5,7
2011,Colorado,Pac-12,Public,24037,24231347,14225803,725000,0,3,10
2012,Colorado,Pac-12,Public,23466,30547707,19781626,725000,0,1,11
2013,Colorado,Pac-12,Public,23793,28430272,17348922,2403500,0,4,8
2014,Colorado,Pac-12,Public,24148,28313259,17039193,2008500,0,2,10
2015,Colorado,Pac-12,Public,24892,37544684,18372291,2009778,0,4,9
2016,Colorado,Pac-12,Public,25692,43529706,22126313,2011050,0,10,4
2003,Colorado State,MW,Public,19166,4684039,6159194,-1,0,7,6
2004,Colorado State,MW,Public,19493,3445782,5492701,-1,0,4,7
2005,Colorado State,MW,Public,19225,4305754,6510525,-1,0,6,6
2006,Colorado State,MW,Public,20500,4106247,6306241,394900,0,4,8
2007,Colorado State,MW,Public,19327,3850239,8222556,414500,0,3,9
2008,Colorado State,MW,Public,19500,5981376,7840937,-1,0,7,6
2009,Colorado State,MW,Public,19843,7288328,7288328,350000,0,3,9
2010,Colorado State,MW,Public,19617,7744375,7744375,700000,0,3,9
2011,Colorado State,MW,Public,19967,8902908,8902908,700000,0,3,9
2012,Colorado State,MW,Public,20189,11253326,11253326,1350000,0,4,8
2013,Colorado State,MW,Public,20180,12037107,12037107,1350000,0,8,6
2014,Colorado State,MW,Public,20132,13002269,13002269,1500000,0,10,3
2015,Colorado State,MW,Public,20456,13446340,13446340,1350000,0,7,6
2016,Colorado State,MW,Public,21211,15444486,15444486,1450000,0,7,6
2003,Connecticut,Independent,Public,14332,4846306,4169434,-1,0,9,3
2004,Connecticut,Big East,Public,14843,8958560,10423271,-1,0,8,4
2005,Connecticut,Big East,Public,15296,12394947,10172761,-1,0,5,6
2006,Connecticut,Big East,Public,15196,11976959,11726917,250000,0,4,8
2007,Connecticut,Big East,Public,15555,13955901,13194679,275000,0,9,4
2008,Connecticut,Big East,Public,16013,13520096,13798555,-1,0,8,5
2009,Connecticut,Big East,Public,16240,14400371,14400371,325000,0,8,5
2010,Connecticut,Big East,Public,16496,17528602,17901730,1550000,0,8,5
2011,Connecticut,Big East,Public,16915,12910583,14445521,1500000,0,5,7
2012,Connecticut,Big East,Public,16587,11142560,13711350,1600000,0,5,7
2013,Connecticut,American,Public,17083,10631609,14376783,1700000,0,3,9
2014,Connecticut,American,Public,17524,8308332,14225947,1500000,0,2,10
2015,Connecticut,American,Public,17989,17673179,16781226,1550000,0,6,7
2016,Connecticut,American,Public,18538,25936445,20454919,1700000,0,3,9
2003,Duke,ACC,Private,6169,8419473,4953823,-1,0,4,8
2004,Duke,ACC,Private,6252,7727680,9314704,-1,0,2,9
2005,Duke,ACC,Private,6470,8381452,10052697,-1,0,1,10
2006,Duke,ACC,Private,6244,8966170,9743924,370200,0,0,12
2007,Duke,ACC,Private,6247,10211591,14092574,544286,0,1,11
2008,Duke,ACC,Private,6340,9029583,15746727,-1,0,4,8
2009,Duke,ACC,Private,6400,16109324,14312863,-1,0,5,7
2010,Duke,ACC,Private,6538,18243589,14837825,1581903,0,3,9
2011,Duke,ACC,Private,6526,25373767,20480154,1762895,0,3,9
2012,Duke,ACC,Private,6484,24121573,19234750,1788523,0,6,7
2013,Duke,ACC,Private,6495,25243479,20579547,1792285,0,10,4
2014,Duke,ACC,Private,6471,32407399,22915934,1840341,0,9,4
2015,Duke,ACC,Private,6485,31795916,23468721,2049055,0,8,5
2016,Duke,ACC,Private,6449,33907896,24492430,2320773,0,4,8
2003,East Carolina,C-USA,Public,15348,5891651,5839962,-1,0,1,11
2004,East Carolina,C-USA,Public,15736,5360281,5529883,-1,0,2,9
2005,East Carolina,C-USA,Public,15832,4246064,5372624,-1,0,5,6
2006,East Carolina,C-USA,Public,15832,6712382,6975296,150000,0,7,6
2007,East Carolina,C-USA,Public,17296,8578244,8172528,210060,0,8,5
2008,East Carolina,C-USA,Public,18198,7833996,8564433,-1,0,9,5
2009,East Carolina,C-USA,Public,18266,9627578,8940958,947863,0,9,5
2010,East Carolina,C-USA,Public,18571,10813850,8644561,792241,0,6,7
2011,East Carolina,C-USA,Public,18421,11969320,9211773,881860,0,5,7
2012,East Carolina,C-USA,Public,18187,10083420,9915950,950000,0,8,5
2013,East Carolina,C-USA,Public,18369,9960084,9880494,1150000,0,10,3
2014,East Carolina,American,Public,18796,12299240,11355294,1250000,0,8,5
2015,East Carolina,American,Public,19245,12264915,11609147,1414610,0,5,7
2016,East Carolina,American,Public,19698,12595950,10591998,1000000,0,3,9
2003,Eastern Michigan,MAC,Public,13818,2472022,3128687,-1,0,3,9
2004,Eastern Michigan,MAC,Public,13215,2355559,3637901,-1,0,4,7
2005,Eastern Michigan,MAC,Public,13167,2799969,3762665,-1,0,4,7
2006,Eastern Michigan,MAC,Public,12405,4653129,3994892,141442,0,1,11
2007,Eastern Michigan,MAC,Public,12455,4655860,4504276,183000,0,4,8
2008,Eastern Michigan,MAC,Public,12234,5289450,5612011,-1,0,3,9
2009,Eastern Michigan,MAC,Public,12762,6076907,5037556,275000,0,0,12
2010,Eastern Michigan,MAC,Public,12988,6623257,5152118,315000,0,2,10
2011,Eastern Michigan,MAC,Public,12774,6461894,6421125,343350,0,6,6
2012,Eastern Michigan,MAC,Public,13092,6289724,5448838,360517,0,2,10
2013,Eastern Michigan,MAC,Public,13372,5553280,6303928,374937,0,2,10
2014,Eastern Michigan,MAC,Public,12938,6291437,6259439,425000,0,2,10
2015,Eastern Michigan,MAC,Public,12894,7365900,7365948,425000,0,1,11
2016,Eastern Michigan,MAC,Public,12714,9033503,9033503,434840,0,7,6
2003,Florida,SEC,Public,31217,42710967,12571701,-1,0,8,5
2004,Florida,SEC,Public,30983,43317641,16144658,-1,0,7,5
2005,Florida,SEC,Public,31950,48194552,15824747,-1,0,9,3
2006,Florida,SEC,Public,31742,58904976,20691405,491750,0,13,1
2007,Florida,SEC,Public,32306,66124945,18837980,238702,0,9,4
